FID,OBJECTID,SHAPE,ID,PLZ,ORT,STRASSE,STANDORT,TYP,OBJEKTTITEL,VULGONAMEN,BIOGR_ANGABEN,INSCHRIFT,BESCHREIBUNG,MATERIAL,ENTSTEHUNG,EPOCHE,KUENSTLER,GESCHICHTE,LITERATURQUELLEN,SE_ANNO_CAD_DATA
KUNSTWERKOGD.3620594,3620594,POINT (16.43055636654544 48.27562187786465),109131,1210,Wien,Marischkapromenade bei 13 / Tauschekstraße,"Beim Gaswerkpark
Urpsünglich: 21., Pfendlergasse 1",Denkmäler,"Denkmal ""Unseren Toten Freunden 1934-1945""",,,Unseren Toten Freunden 1934 - 1945,Das Relief ist in Sgraffito Technik mit einer roten und gelben Putzschicht ausgeführt.,"Beton, Inschrift: Messing",(Versetzung 2022),12 Nach 1945,Heribert POTUZNIK,"Das Denkmal ""Unseren Toten Freunden 1934-1945"" wurde am 20. September 1951 auf dem Gelände des Gaswerk Leopoldau in Wien 21., Pfendlergasse 1 enthüllt. Das von Heribert Potuznik gestaltete Denkmal nennt keine Namen oder weitere Informationen, es kommt allein mit der Inschrift und den Jahreszahlen aus, die unter der Darstellung einer trauernden Frau (Sgrafitto) Bezug zu jene ehemaligen Mitarbeitenden des Gaswerks nimmt, die Opfer des Austrofaschimus bzw. des Nationalsozialismus wurden.
Das Denkmal wurde von Angehörigen des Gaswerks Leopoldau gestiftet, auf dessen Flächen es noch Jahrezehnte nach der Auflösung des Werks in den 1970er Jahren stand. Erst im Zuge der Umgestaltung und Errichtung von Wohnbauten wurde das Denkmal 2022 restauriert und auf öffentlichen Grund beim neuen Gaswerkpark versetzt.","Dokumentationsarchiv des Österreichischen Widerstandes [Hg.]: Gedenken und Mahnen in Wien 1934-1945. Gedenkstätten zu Widerstand und Verfolgung, Exil, Befreiung. Eine Dokumentation. Wien: Deuticke 1998, S. 434
https://www.geschichtewiki.wien.gv.at/Denkmal_Unseren_Toten_Freunden_1934-1945",
KUNSTWERKOGD.3620595,3620595,POINT (16.280254549571197 48.25413909865632),109132,1170,Wien,"Promenadeweg, bei der Waldandacht","im Wald, Weg in direkter Verlängerung des Promenadewegs",Sakrale Kleindenkmäler,Marienstatue,,,,"Mariensäule bei der Waldandacht. Säule auf runder Basis, kantiges Würfelkapitell. Moderne Marienstatue, schöner Faltenwurf des Gewandes. Maria und Kind tragen Kronen auf dem Haupt. Eine Wallfahrt bestand hier seit 1869, die Säule soll nach 1881 errichtet worden sein, die Kapelle 1931.",,nach 1881,,,,"Westerhoff, S. 59.",
KUNSTWERKOGD.3620596,3620596,POINT (16.33725225181941 48.22966382474892),109137,1180,Wien,Lazaristengasse 14,,Gedenktafeln,Alfred Cossmann - Gedenktafel,,,Dem grossen Künstler und Menschen / Alfred Cossmann / Wiedererwecker des Kupferstiches / geb. 1870 gest. 1951 / er wohnte und schuf in diesem Hause / von 1913 bis zu seinem Tode / die Alfred Cossmanngesellschaft Wien / MCMLIV,,Bronzerelief (Arnold Hartig) auf Marmortafel,,12 Nach 1945,,,"Die Weltpresse, 15.09.1954, S. 14",
KUNSTWERKOGD.3620597,3620597,POINT (16.333450639573286 48.18235908399256),109139,1120,Wien,Arndtstraße 82,,Gedenktafeln,Fritz Stüber-Gunther - Gedenktafel,,,In diesem Hause wurde der / Wiener Volksschriftsteller / Fritz Stüber-Gunther / am 22. März 1872 geboren.,,Marmor,,11 Zwischenkriegszeit und 2. Weltkrieg,,,"Arbeiter Zeitung, 23.06.1924, S. 3 sowie Reichspost, 12.06.1924, S. 4.",
KUNSTWERKOGD.3620598,3620598,POINT (16.35816928300188 48.210765024041706),109141,1010,Wien,"Rathaus, Friedrich-Schmidt-Platz 1","mittlerer Turm, Freitreppe",Gedenktafeln,Hildegard Burjan - Gedenktafel,,,"Zum Gedenken an / Hildegard Burjan / (1883 - 1933) / Mitglied des provisorischen Gemeinderates / von Dezember 1918 bis Mai 1919, / Gründerin der Caritas Socialis, / seelig gesprochen am 29. Jänner 2012. / Stark sozial engagiert wirkte sie innovativ, mutig und mit wachem Blick / für die Nöte der Menschen. / Wien, im Mai 2017",,Stein,,12 Nach 1945,,,,
KUNSTWERKOGD.3620599,3620599,POINT (16.3862438349281 48.2144195103648),109142,1020,Wien,Czerningasse 7,,Gedenktafeln,Alfred Adler - Gedenktafel,,,In diesem Hause / lebte und wirkte / Alfred Adler / geb: 7.2.1870 gest: 28.5.1937 / Begründer der / Individual- / psychologie,,Stein,1985,12 Nach 1945,,,,
KUNSTWERKOGD.3620600,3620600,POINT (16.377279401509245 48.20904125881514),109143,1010,Wien,Sonnenfelsgasse 19,,Gedenktafeln,Gottfried Wilhelm Leibniz - Gedenktafel,,,"Erster Vorschlag für eine / Akademie der Wissenschaften in Wien / durch / Gottfried Wilhelm Leibniz / 1646 - 1716 / Philosoph, Mathematiker, Physiker, Theologe, Geologe, / Techniker, Philologe, Jurist, Historiker und Diplomat",,Stein,,,,,,
KUNSTWERKOGD.3620601,3620601,POINT (16.377279401509245 48.20904125881514),109144,1010,Wien,Sonnenfelsgasse 19,,Gedenktafeln,Ulrich Zwingli - Gedenktafel,,,Ulrich Zwingli / Reformator von Kirche und Gesellschaft / studierte 1498/99 u. 1500 in Wien,,Stein,,12 Nach 1945,,,,
KUNSTWERKOGD.3620602,3620602,POINT (16.377279401509245 48.20904125881514),109145,1010,Wien,Sonnenfelsgasse 19,,Gedenktafeln,Konrad Grebel - Gedenktafel,,,Konrad Grebel / studierte von 1515 bis 1518 in Wien / Als erster Glaubenstäufer der Neuzeit / wurde er zu einem Vorläufer / der freikirchlichen Bewegung.,,Stein,,12 Nach 1945,,,,
KUNSTWERKOGD.3620603,3620603,POINT (16.35995284852891 48.189779589962896),109147,1050,Wien,Castelligasse 1,,Gedenktafeln,Gründung der Arbeiterjugend - Gedenktafel,,,"Am 4. November 1894 / schlossen sich in diesem Haus / die Mitglieder der Jugendgruppen / ""Bücherskorpion"" und ""Jugendbund"" / zum / ""Verein jugendlicher Arbeiter"" / der ersten sozialistischen Jugendbewegung / Österreichs zusammen. / Sozialistische Jugend Österreichs / sozialistische Fraktion der / österreichischen Gewerkschaftsjugend / November 1964",,Kupfer/Bronze,1964,12 Nach 1945,,,,
KUNSTWERKOGD.3620604,3620604,POINT (16.33045530197301 48.18969522271748),109148,1150,Wien,Reindorfgasse 30,,Gedenktafeln,Rosa Barach - Gedenktafel,,,"Rosa Barach / (16.05.1841 in Neu-Rausnitz, / Mähren bis 22.02.1913 in Wien) / gründete 1867 in Wien-Fünfhaus eine / Mädchenschule, hielt als erste Frau in / Wien öffentliche Vorlesungen ab und / gründete den Wiener / Schriftstellerinnenverein ""Vorwärts"", das / Kinderasyl Kahlenbergerdorf, eine / Volksküche und ein Frauenheim. / Journalistisch war sie bei der ""Wiener / Morgenpost"" tätig. Zugeordnete Adresse: / 15, Reindorfgasse 30. / gewidmet von der Bezirksvertretung 15. Bezirk",,Kunststoff,,,,,,
KUNSTWERKOGD.3620605,3620605,POINT (16.35562125439576 48.242576289220075),109149,1190,Wien,Döblinger Hauptstraße 94a,,Gedenktafeln,Eduard von Bauernfeld - Gedenktafel,,,In diesem Hause starb / Eduard von Bauernfeld / am 9. August 1890 / im 89. Lebensjahre.,,Stein,,10 Späthistorismus/Jugendstil/Neoklassizismus,,,,
KUNSTWERKOGD.3620606,3620606,POINT (16.385811893003055 48.20036680006156),109150,1030,Wien,Tongasse 4,,Gedenktafeln,Franz von Bayros - Gedenktafel,,,In diesem / Hause wurde / am 2. April 1924 / der deutsche / Maler u. grosse / Mensch / Franz von Bayros / mitten / aus reifstem / Künstlertum / seinem rastlo: / sen Schaffen / entrissen.,,Metall,,,,,,
KUNSTWERKOGD.3620607,3620607,POINT (16.294441336672673 48.147725686863744),109151,1230,Wien,Kirchenplatz 2-3,Volksschule Atzgersdorf,Gedenktafeln,Hedy Blum - Gedenktafel,,,Zum Gedenken an / Hedy Blum / geb. am 23.8.1931 / Schülerin der VS Atzgersdorf / aus rassistischen Gründen verfolgt / und am 21.8.1942 ermordet / Opfer des Holocaust / Niemals vergessen!,,Stein,,12 Nach 1945,,,,
KUNSTWERKOGD.3620608,3620608,POINT (16.35598319026292 48.20056117079957),109152,1070,Wien,Mariahilfer Straße 24 / Stiftgasse 2,In der Kirche,Gedenktafeln,Janos Bolyai - Gedenktafel,,,,,,,,,,,
KUNSTWERKOGD.3620609,3620609,POINT (16.332395214350157 48.190473218141435),109156,1150,Wien,Henriettenplatz 6,AHS (Aula),Gedenktafeln,Denk mal! 1. Weltkrieg - Gedenktafel,,,,,Glas,,12 Nach 1945,,,,
KUNSTWERKOGD.3620610,3620610,POINT (16.34337112955459 48.229198024970984),109157,1180,Wien,Anton-Frank-Gasse 3,,Gedenktafeln,Gustav Diessl - Gedenktafel,,,In diesem Haus wohnte / bis zu seinem Tod 1948 / der Schauspieler / Gustav Diessl / mit Kammersängerin / Maria Cebotari,,Stein,,12 Nach 1945,,,,
KUNSTWERKOGD.3620611,3620611,POINT (16.35601470437722 48.23401535095982),109158,1190,Wien,"Heiligenstädter Straße 11-25, Dittes Hof",,Gedenktafeln,Friedrich Dittes - Gedenktafel,,,Diese Wohnhausanlage / ist benannt nach dem / rastlosen Verkünder / pestalozzischer Lehren / dem ersten Direktor / des / Wiener Pädagogiums / Friedrich Dittes / geboren / am 23 September / 1829 / gestorben / in Wien / am 15 Mai / 1896,,Stein,1932,11 Zwischenkriegszeit und 2. Weltkrieg,,,,
KUNSTWERKOGD.3620612,3620612,POINT (16.302314224515563 48.18656919071287),109159,1130,Wien,Hietzinger Hauptstraße 14,Am Parkhotel Schönbrunn,Gedenktafeln,Thomas Edison - Gedenktafel,,,Hier wohnte 1911 / Thomas Alva / Edison / Der geniale / Techniker,,Stein,,12 Nach 1945,,,,
KUNSTWERKOGD.3620613,3620613,POINT (16.36617491626019 48.20773897130207),109160,1010,Wien,Michaelerplatz,"Hofburg, Marschalltor",Gedenktafeln,Gottfried von Einem - Gedenktafel,,,"Hier lebte und componierte 1990-1996 / Gottfried / von Einem / ""Enden werde ich leise / ins Licht entschwindend, / mit allem schwerelos verbunden. / Es wird erfüllte Stille sein.""",,Stein,,12 Nach 1945,,,,
KUNSTWERKOGD.3620614,3620614,POINT (16.383244528619013 48.21154097199344),109161,1010,Wien,Uraniastraße 1,,Gedenktafeln,Max Fabiani - Gedenktafel,,,"Max Fabiani / *29.4.1865 in Kobdilj, Slowenien (Slovenia) / + 18.8.1962 in Görz, Italien (Italy) / Österreichisch-italienisch-slowakischer / Architekt und Stadtplaner / Architekt der Wiener Urania / Eröffnung 1910 / Mitarbeiter im Atelier von Otto Wagner / Professor für Ornamentik / und Innendekoration / an der Technischen Hochschule Wien /
Austrian-Italian-Slovenian / architect and urban planner / Architect of the Viennese Urania / opening in 1910 / Staff member in Otto Wagner's studio / Professor of ornamentation / and interior décor at the / Vienna University of Technology /
Oktober (October) 2017",,Kunststoff,2017,12 Nach 1945,,,,
KUNSTWERKOGD.3620615,3620615,POINT (16.347256177961356 48.24334874671224),109162,1190,Wien,"Billrothstraße 78, Rudolfinerhaus",,Gedenktafeln,Dr. Karl Fellinger - Gedenktafel,,,Univ.Prof.Dr.Et.Dr.Hc.Mult. / Karl Fellinger / für sein 20-jähriges Wirken / beim Wiederaufbau des Rudolfinerhauses / als Vizepräsident und als Präsident / des Rudolfiner-Verein-Rotes Kreuz / 1975-1995 / Zum 92. Geburtstag am 19. Juni 1996 / in Dankbarkeit / Das Rudolfinerhaus / und der Rudolfiner-Verein-Rotes Kreuz,,Stein,1996,,,,,
KUNSTWERKOGD.3620616,3620616,POINT (16.346807806206478 48.205660919708),109163,1070,Wien,Neustiftgasse 64,,Gedenktafeln,Max Fleischer - Gedenktafel,,,"In diesem von ihm entworfenen Haus lebte der Architekt / Max Fleischer / (1841 Prostejov, Mähren - 1905 Wien) / von 1890 bis zu seinem Tode. Er war bekannt für den Bau von / Synagogen und einer der Bauführer am Wiener Rathaus. Er entwarf / zahlreiche Wohnhäuser im 7. Bezirk und Gräber am Wiener / Zentralfriedhof. Während des Novemberpogroms 1938 wurden alle / von ihm geplanten Wiener Synagogen zerstört oder beschädigt.",,Kunststoff,2008,,,,,
KUNSTWERKOGD.3620617,3620617,POINT (16.348284256383394 48.2120578296098),109165,1080,Wien,Florianigasse 36,,Gedenktafeln,Johann Genersich - Gedenktafel,,,"In diesem Gebäude lebte und verstarb / Johann Genersich / (1761 Kesmark - 1823 Wien) / zuletzt Professor der evangelischen Theologie in / Wien, ein bedeutender Vertreter des kulturellen / und literarischen Lebens in der Zips/Szepesseg / Spis, damals Oberungarn, am Fuße der Tatra / Errichtet von / Dr. Antal Genersich Stiftung, Budapest - Balassi Institut Collegium Hungaricum, Wien / Ungarische Evangelische Gemeinde A.B. in Österreich / im Jahre 2015",,Stein,2015,12 Nach 1945,,,,
KUNSTWERKOGD.3620618,3620618,POINT (16.369406867937904 48.20621759727429),109166,1010,Wien,Spiegelgasse 21,Im Hausflur,Gedenktafeln,Franz Grillparzer - Gedenktafel,,,"In diesem Hause starb / Franz Grillparzer / am 21. Jänner 1872 im 82. Lebensjahre. / Dem Andenken des Dichters die Gemeinde Wien, / am 3. Jänner 1873.",,"Keramik, Glas",,12 Nach 1945,,,,
KUNSTWERKOGD.3620619,3620619,POINT (16.329714420026665 48.211864399133304),109167,1160,Wien,Lindauergasse 17,,Gedenktafeln,Ludwig Gruber - Gedenktafel,,,Professor / Ludwig Gruber / Komponist / Geb. am 13. Juli 1874 zum 90. Geburtstag / Wien 13. Juli 1964 Gewidmet von / Cilli Gruber,,Stein,,,,,,
KUNSTWERKOGD.3620620,3620620,POINT (16.347943742678662 48.244998923622),109168,1190,Wien,Saarplatz 18,,Gedenktafeln,Albert Paris Gütersloh und Heimito von Doderer - Gedenktafel,,,In diesem Hause wohnten / Albert Paris Gütersloh / Maler und Schriftsteller / *5.2.1887 +16.5.1973 / Heimito von Doderer / Schriftsteller / *5.9.1896 +23.12.1966,,Stein,,12 Nach 1945,,,,
KUNSTWERKOGD.3620621,3620621,POINT (16.48321018428915 48.21810235201751),109169,1220,Wien,Asperner Heldenplatz 9,An der Kirche,Gedenktafeln,Jimi Hendrix - Gedenktafel,,,"Wenn die Macht der Liebe / die Liebe zur Macht übersteigt, / wird die Welt Frieden kennen. / Quand le pouvoir de l'amour / l'emportera sur l'amour du pouvoir, / le monde connaîtra la paix. / Jimi Hendrix / Pfarre Aspern / Raiffeisenlandesbank / Niederösterreich-Wien / Raiffeisen in Wien Meine BeraterBank, Filiale Siegesplatz / Gedenkfeier und Friedensgebet / 24. Mai 2009 / Célébration du souvenir et priere / pour la paix, 24ème Mai 2009",,Kunststoff,,,,,,
KUNSTWERKOGD.3620622,3620622,POINT (16.36731729814665 48.167795587502255),109170,1100,Wien,Leebgasse 100,,Gedenktafeln,Margarethe Hilferding - Gedenktafel,,,"Dr. Margarethe Hilferding / geb. 1871 / Absolvierte als erste Frau ein Medizinstudium in Wien, / war Ärztin und Bezirksrätin in Favoriten / und als erste Frau Mitglied / der Psychoanalytischen Vereinigung. / Sie wurde 1942 im KZ ermordert.",,Stein,,12 Nach 1945,,,,
KUNSTWERKOGD.3620623,3620623,POINT (16.369551685033848 48.22532155753202),109171,1020,Wien,Obere Donaustraße 4,,Gedenktafeln,Leopold Hilsner - Gedenktafel,,,"Hier stand das letzte Wohnhaus von Leopold Hilsner S.A. (1876-1928). Als / unschuldiges Opfer der Ritualmordlüge schmachtete er 19 Jahre im Kerker. / Bezirksvorstehung Leopoldstadt / Israelitische Kultusgemeinde Wien / Im Monat März 2002
(Inschrift auch in hebräischer und tschechischer Sprache)",,Stein,2002,,,,,
KUNSTWERKOGD.3620624,3620624,POINT (16.377165551057097 48.20294767109014),109173,1010,Wien,Johannesgasse 22,,Gedenktafeln,Feng Shan Ho - Gedenktafel,,,"Feng Shan Ho / (1901-1997) / Zwischen 1939 und 1940 rettete Dr. Feng Shan Ho als / Generalkonsul der Regierung China in diesem Gebäude in / Wien tausende Juden vor dem Holocaust durch die Ausstellung / von Visa nach Shanghai und von anderen Dokumenten. Indem / er die Anordnungen seiner Vorgesetzten ignorierte und seine / Karriere und eigene Sicherheit aufs Spiel setzte, handelte er / mit Mut, als die meisten anderen dies nicht taten. / United States Comission for the / Preservation of America's Heritage Abroad / Israelitische Kultusgemeinde Wien
(Daneben Tafel mit englischer Inschrift)",,,,,,,,
KUNSTWERKOGD.3620625,3620625,POINT (16.37915675591448 48.20762701727282),109174,1010,Wien,Stubentor / Dr. Karl-Lueger-Platz,Ggüber von Dr. Karl-Lueger-Platz 4,Gedenktafeln,Balthasar Hubmaier - Gedenktafel,,,"Dr. Balthasar Hubmaier / Am 10.3.1528 vor dem Stubentor als Täufer verbrannt / Begründer des religiösen Toleranzgedankens / ""Christus ist nicht gekommen, / dass er metzge, morde und brenne"" / (Aus ""Von Ketzern und ihren Verbrennern"") / die Christen dieser Stadt",,Stein,2003,,,,,
KUNSTWERKOGD.3620626,3620626,POINT (16.367242444136274 48.210730101616704),109175,1010,Wien,Am Hof 3-4,,Gedenktafeln,Papst Innozenz XII. - Gedenktafel,,,"An dieser Stelle befand sich / von 1630 bis 1913 / die apostolische Nuntiatur. / Hier wirkte von 1668 bis 1671 / Antonio Pignatelli, / der spätere Papst Innozenz XII. / (1691-1700). / Zur Erinnerung an seinen Todestag vor 300 Jahren / Wien, am 27. September / im Jubiläumsjahr 2000 / Veritas et Caritas",,Stein,,12 Nach 1945,,,,
KUNSTWERKOGD.3620627,3620627,POINT (16.383817662672357 48.195385661380605),109176,1030,Wien,Rennweg 14,,Gedenktafeln,Jacquin-Platane/Mozart-Platane - Gedenktafel,,,Jacquin-Platane / (Platanus x acerifolia) / Gepflanzt um 1780 in der Amtszeit / des bedeutenden Direktors / des botanischen Gartens / Nicolaus Joseph Freiherr von Jacquin / (1727-1871),,Stein,,,,,,
KUNSTWERKOGD.3620628,3620628,POINT (16.37041698713385 48.2076274376946),109177,1010,Wien,Spiegelgasse 5,,Gedenktafeln,Friedrich Ludwig Jahn - Gedenktafel,,,Friedrich Ludwig Jahn / wohnte während des Wiener / Congresses im Lenzmonde / des Jahres 1815 in diesem Hause / Im 150. Geburtsjahre Jahn's / errichtet vom / Wiener Turngau / des deutschen Turnerbundes,,Stein,,,,,,
KUNSTWERKOGD.3620631,3620631,POINT (16.370063608028936 48.21139183378384),109180,1010,Wien,Judenplatz 2,,Gedenktafeln,Jordan Relief - Gedenktafel,,,"Flumine jordani terguntur labe malisque / corora. Cum credit quod latet omne nefas. / Sie flamma assurgens totam fuibunda per urbem 1421. / Hebraeum purgat crimina saeva canum, / Deucalioneis mundus purgatar ab undis / Sicque iterum poenas Igne furiente luit""",,Stein,1497/Mitte des 16. Jahrhunderts,,,,"Paul Harrer-Lucienfeld: Wien, seine Häuser, Geschichte und Kultur. Band 2, 2. Teil. Wien ²1952 (Manuskript im WStLA), S. 394-396. (Datierung)",
KUNSTWERKOGD.3620632,3620632,POINT (16.361616837672596 48.21663490002096),109181,1090,Wien,Wasagasse 10,Wasagymnasium,Gedenktafeln,Fritz Kalmar/Marcel Prawy - Gedenktafel,,,Schriftsteller Diplomat / Fritz Kalmar / 1911 Wien - 2008 Montevideo / Dramaturg Opernliebhaber / Marcel Prawy / 1911 Wien - 2003 Wien / haben an dieser Schule die Reifeprüfung abgelegt,,Metall,2013,12 Nach 1945,,,,
KUNSTWERKOGD.3620633,3620633,POINT (16.379309405416375 48.19987614727149),109182,1030,Wien,Marokkanergasse 3,,Gedenktafeln,Vuk Stefanovic Karadzic - Gedenktafel,,,"Hier lebte, wirkte und starb / Vuk Stefanovic Karadzic / der Schöpfer der serbischen / Schriftsprache u. Literatur / 1787-1864
(Inschrift zweisprachig)",,Stein,,,,,,
KUNSTWERKOGD.3620634,3620634,POINT (16.34393908439542 48.223530388627246),109184,1180,Wien,Kutschkergasse 13,,Gedenktafeln,Karl Kinzer - Gedenktafel,,,In diesem Hause wohnte / Oberstadtbaurat / Dipl. Ing. Dr. Karl Kinzer / 1857-1916 / Der Schöpfer der 11. Wiener / Hochquellenleitung / Wasserwerke / der Stadt Wien,,"Marmor, grau meliert",,,,,,
KUNSTWERKOGD.3620635,3620635,POINT (16.48320479262716 48.218146245765475),109185,1220,Wien,Asperner Heldenplatz 9,Asperner Pfarrkirche St. Martin,Gedenktafeln,Wilhelm von Klebek - Gedenktafel,,,"Schwarz die Farbe, / Gold im Herzen, / Treu bis in den Tod! / An dieser Stätte kämpfte am 21 und 22 Mai 1809 / das k.k. Infanterieregiment Freiherr von Klebek No 14 / heldenmutig wie immer. / Dem Andenken ihrer tapferen Vorfahren / widmen dieses Ehrenmal aus Erz und Stein. / Im Mai 1936 / die schwarzen Hessen",,Stein,,,,,,
KUNSTWERKOGD.3620636,3620636,POINT (16.36975608930626 48.19875293572597),109186,1040,Wien,Karlsplatz 13,"Technische Universität Wien, Innenhof",Gedenktafeln,Richard Knoller - Gedenktafel,,,Richard Knoller / Schöpfer / der Windkanalbauart mit Freistahl / unter atmosphärischem Druck / 1909-1926,,Stein,,,,,,
KUNSTWERKOGD.3620637,3620637,POINT (16.364278314835797 48.20930939759989),109187,1010,Wien,Minoritenplatz,Grünfläche vorm Eingang der Kirche,Gedenktafeln,Bischof Florian Kuntner - Gedenktafel,,,"Bischof Florian Kuntner / zum Gedenken an seine letzten Worte / ""Die Saat geht auf"" / ARGE Schöpfungsverantwortung",,Marmor,2018,,,,,
KUNSTWERKOGD.3620638,3620638,POINT (16.337753870208477 48.241225627219),109188,1190,Wien,Saileräckergasse 8-14,,Gedenktafeln,Hansi Lang - Gedenktafel,,,"Hansi Lang / Keine Angst / Hansi Lang / 1955-2008 / Der Sänger und Schauspieler / wohnte und wirkte hier bis zu seinem Tod / Mit seinen Liedern wie Keine Angst, Montevideo, / Ich spiele Leben und Josefine prägte er den Austropop",,Metall,,12 Nach 1945,,,,
KUNSTWERKOGD.3620629,3620629,POINT (16.331320566087513 48.183393509232374),109178,1120,Wien,Schönbrunner Straße 247,,Gedenktafeln,Karl Maria Jäger - Gedenktafel,,,Wohn und Sterbehaus / des / Wiener Dichterkomponisten / Karl Maria Jäger / 1876-1956 / Gewidmet von der Karl Maria Jäger [...],,Stein,,,,,,
KUNSTWERKOGD.3620630,3620630,POINT (16.39199205862591 48.26913030319841),109179,1210,Wien,Prager Straße 74,,Gedenktafeln,Franz Jonas - Gedenktafel,,,Franz Jonas / Geburtshaus / Bezirksvorsteher / Stadtrat / Bürgermeister u. LH / Bundespräsident / *1899 +1974,,Stein,2002/2003,12 Nach 1945,,,,
KUNSTWERKOGD.3620639,3620639,POINT (16.36556933066657 48.26216808945568),109189,1190,Wien,Hackhofergasse 18,Lehar-Schikaneder-Schlössl,Gedenktafeln,Franz Lehar - Gedenktafel,,,Franz Lehar / Wer kann der Tone / Allgewalt ermessen / Die Lust verklärt / und Leiden macht / vergessen,,Metall,,,,,,
KUNSTWERKOGD.3620640,3620640,POINT (16.357752467801088 48.21273983319993),109190,1010,Wien,Ebendorferstraße 7,,Gedenktafeln,Käthe Leichter - Gedenktafel,,,dieses / gebäude / war von / 1921 bis 1938 / und zu beginn / der 2. republik / das gemeinsame haus von / arbeiterkammer und gewerkschaft. / käthe leichter war von / 1925 bis 1934 erste leiterin der / ak-frauenabteilung. / sie wurde 1942 / von den / national- / sozialisten ermordet.,,Plexiglas,,12 Nach 1945,,,,
KUNSTWERKOGD.3620641,3620641,POINT (16.344977440134027 48.240919620515875),109191,1190,Wien,Obersteinergasse 20,Bezirksgericht Döbling,Gedenktafeln,Nikolaus Lenau - Gedenktafel,,,Der Dichter / Nikolaus Lenau / 1802-1850 / verbrachte hier die / letzten Lebensjahre,,Stein,,,,,,
KUNSTWERKOGD.3620642,3620642,POINT (16.3947611199571 48.212533383054556),109192,1020,Wien,"Laufbergergasse, Ecke Schüttelstraße",,Gedenktafeln,Franz Mair - Gedenktafel,,,Franz Mair / Tondichter / Gründer des Wiener / Schubertbundes / 1821-1893,,Stein,,,,,,
KUNSTWERKOGD.3620643,3620643,POINT (16.380412289541013 48.20182842816167),109193,1030,Wien,Am Heumarkt 13,,Gedenktafeln,Wiener Männergesangs-Verein - Gedenktafel,,,An dieser Stelle / stand das Haus in dem / am 6. Oktober 1843 der / Wiener / Männergesangs-Verein / gegründet wurde. / Gewidmet von den unterstützenden / Mitgliedern am 6. Oktober 1943,,Stein,,11 Zwischenkriegszeit und 2. Weltkrieg,,,,
KUNSTWERKOGD.3620644,3620644,POINT (16.34097391100915 48.190626871542975),109194,1060,Wien,Gumpendorfer Straße 130,,Gedenktafeln,Siegfried Marcus - Gedenktafel,,,Siegfried / Marcus / geb. Malchin 18.09.1831 / 30.06.1898 gest. Wien / Erfinder / des / Benzinluftgemisches,,Stein,,,,,,
KUNSTWERKOGD.3620645,3620645,POINT (16.354044378871436 48.210459521707804),109195,1080,Wien,Lenaugasse 11,,Gedenktafeln,Erich Meder - Gedenktafel,,,"Hier im 1. Stock lebte und wirkte / der geniale Wiener Textdichter / Erich Meder / 1897 bis 1966 / Er gab über 1300 Liedern vieler berühmter / Komponisten Inhalt und Sinn: / ""Der Wurschtl"" - ""Hallo Dienstmann"" - ""Liebe kleine Schaffnerin"" - / ""Bitt' Sie Herr Frisör"" - ""Florentinische Nächte"" - / sowie ""Die Rose vom Wörthersee"" u.v.m. / gestiftet von seinem Rechtsnachfolger Dr. Dr. Wolfgang Bacher",,Stein,,12 Nach 1945,,,,
KUNSTWERKOGD.3620646,3620646,POINT (16.35509652847423 48.21036879127322),109196,1080,Wien,Friedrich-Schmidt-Platz 3,,Gedenktafeln,Militärgeograohisches Institut - Gedenktafel,,,Ehemaliges / Militärgeographisches / Institut / Errichtet 1840-1842 / von 1923-1983 / Sitz des Bundesamtes für / Eich- und Vermessungswesen,,Stein,,,,,,
KUNSTWERKOGD.3620647,3620647,POINT (16.365577402208494 48.260509932870946),109197,1190,Wien,Hackhofergasse 8,,Gedenktafeln,Carl Millöcker - Gedenktafel,,,Beim Wein beim Wein woll'n heut wir sein / Trinklied aus ABENTEUER IN WIEN / Carl Millöcker / 29.4.1842 - 31.12.1899 / Der Vater des Operettenkomponisten / wurde 1804 in diesem Haus geboren / Gewidmet von / Regierungsrat Peter Schoenwald 1999,,Stein,1999,12 Nach 1945,,,,
KUNSTWERKOGD.3620648,3620648,POINT (16.35412398278183 48.2126217478931),109198,1080,Wien,Wickenburggasse 7,,Gedenktafeln,Mihaly Munkacsy - Gedenktafel,,,"Zum Gedenken / an den grossen ungarischen Maler / Mihály Munkácsy (1844-1900), / der im Jahre 1865 in diesem Hause wohnte. /
(Inschrift auch in ungarischer Sprache)
Bezirksvorstehung Wien-Josefstadt, Budapest-Jószefváros / Önkormányzata, Bezirksmuseum Josefstadt",,Stein,,,,,,
KUNSTWERKOGD.3620649,3620649,POINT (16.358016161866352 48.21076028688599),109199,1010,Wien,Friedrich-Schmidt-Platz 1,Rathaus,Gedenktafeln,NS-Opfer Mandatare - Gedenktafel,,,Zum Gedenken an die / demokratisch gewählten / Mitglieder des Wiener / Landtags und Gemeinderats / Therese Ammon / Dr. Aladar Bekes / Julius Bermann / Dr. Robert Danneberg / Pokorny Johann / und Edmung Reismann / sowie an den Aneghörigen / der Wiener Bürgerschaft / Dr. Jakob Ehrlich. / Sie fielen der / nationalsozialistischen / Gewaltherrschaft / zum Opfer. / 11. März 1988,,Stein,,,,,,
